,Z,N,A,half_life,half_life_unit,half_life_type,br_alpha,br_alpha_type,half_life_alpha,half_life_alpha_unit,Q_alpha,Q_alpha_unit
162Eu,63,99,162,11.7,s,symmetric,,,,,-2041.7169,keV
133Gd,64,69,133,,,,,,,,3845.0,keV
143Gd,64,79,143,39,s,symmetric,,,,,1724.0023,keV
134Gd,64,70,134,,,,,,,,3745.0,keV
136Gd,64,72,136,,,,,,,,3625.0,keV
135Gd,64,71,135,1.1,s,symmetric,,,,,3606.0,keV
138Gd,64,74,138,4.7,s,symmetric,,,,,3292.0,keV
137Gd,64,73,137,2.2,s,symmetric,,,,,3593.0,keV
140Gd,64,76,140,15.8,s,symmetric,,,,,2603.7053,keV
139Gd,64,75,139,5.6,s,symmetric,,,,,2801.0,keV
142Gd,64,78,142,70.2,s,symmetric,,,,,2113.3344,keV
141Gd,64,77,141,17,s,symmetric,,,,,2342.5087,keV
145Gd,64,81,145,23.2,m,symmetric,,,,,582.4179,keV
144Gd,64,80,144,4.48,m,symmetric,,,,,1271.5183,keV
147Gd,64,83,147,38.06,h,symmetric,,,,,1735.2911,keV
146Gd,64,82,146,48.27,d,symmetric,,,,,471.1904,keV
149Gd,64,85,149,9.28,d,symmetric,0.00042,symmetric,2209523.8095238092,d,3099.3183,keV
148Gd,64,84,148,86.9,y,symmetric,100.0,unreported,86.9,y,3271.2911,keV
151Gd,64,87,151,124.5,d,symmetric,8e-07,approximation,15562500000.000002,d,2652.2117,keV
150Gd,64,86,150,1786800,y,symmetric,100.0,unreported,1786800.0,y,2807.3935,keV
153Gd,64,89,153,240.41,d,symmetric,,,,,1828.0382,keV
152Gd,64,88,152,108000000000000,y,symmetric,100.0,unreported,108000000000000.0,y,2203.8471,keV
154Gd,64,90,154,STABLE,,,,,,,920.0617,keV
156Gd,64,92,156,STABLE,,,,,,,-197.2718,keV
155Gd,64,91,155,STABLE,,,,,,,81.2659,keV
158Gd,64,94,158,STABLE,,,,,,,-659.3217,keV
157Gd,64,93,157,STABLE,,,,,,,-688.7523,keV
160Gd,64,96,160,STABLE,,,,,,,-1006.2406,keV
159Gd,64,95,159,18.479,h,symmetric,,,,,-795.5676,keV
162Gd,64,98,162,8.39,m,symmetric,,,,,-1453.7869,keV
161Gd,64,97,161,3.66,m,symmetric,,,,,-1253.4041,keV
163Gd,64,99,163,68,s,symmetric,,,,,-1605.6573,keV
168Gd,64,104,168,3.02,s,symmetric,,,,,-2649.0,keV
167Gd,64,103,167,4.26,s,asymmetric,,,,,-2601.0362,keV
166Gd,64,102,166,5,s,symmetric,,,,,-2416.7885,keV
165Gd,64,101,165,11.6,s,symmetric,,,,,-2278.6545,keV
164Gd,64,100,164,45,s,symmetric,,,,,-1885.431,keV
172Gd,64,108,172,0.163,s,asymmetric,,,,,-3755.0,keV
171Gd,64,107,171,0.392,s,asymmetric,,,,,-3305.0,keV
170Gd,64,106,170,0.616,s,symmetric,,,,,-2825.0,keV
169Gd,64,105,169,0.892,s,asymmetric,,,,,-2805.0,keV
166Tb,65,101,166,27.1,s,symmetric,,,,,-1510.7496,keV
165Tb,65,100,165,2.11,m,symmetric,,,,,-1222.1641,keV
168Tb,65,103,168,9.4,s,symmetric,,,,,-1973.9511,keV
167Tb,65,102,167,18.9,s,symmetric,,,,,-1734.1794,keV
174Tb,65,109,174,,,,,,,,-3534.0,keV
173Tb,65,108,173,,,,,,,,-3274.0,keV
170Tb,65,105,170,0.96,s,symmetric,,,,,-2386.0,keV
169Tb,65,104,169,5.13,s,symmetric,,,,,-2176.0,keV
172Tb,65,107,172,0.76,s,symmetric,,,,,-2865.0,keV
171Tb,65,106,171,1.24,s,asymmetric,,,,,-2425.0,keV
145Tb,65,80,145,30.9,s,symmetric,,,,,1101.0382,keV
147Tb,65,82,147,1.64,h,symmetric,,,,,1073.7214,keV
146Tb,65,81,146,8,s,symmetric,,,,,1120.3696,keV
149Tb,65,84,149,4.12,h,symmetric,16.7,symmetric,24.670658682634734,h,4077.9687,keV
148Tb,65,83,148,60,m,symmetric,,,,,2657.3119,keV
151Tb,65,86,151,17.609,h,symmetric,0.0095,symmetric,185357.89473684214,h,3496.1546,keV
150Tb,65,85,150,3.48,h,symmetric,,,,,3586.8983,keV
153Tb,65,88,153,2.34,d,symmetric,,,,,2702.7909,keV
152Tb,65,87,152,17.48,h,symmetric,,,,,3155.2627,keV
154Tb,65,89,154,21.5,h,symmetric,,,,,2210.747,keV
156Tb,65,91,156,5.35,d,symmetric,,,,,372.5738,keV
155Tb,65,90,155,5.32,d,symmetric,,,,,977.7429,keV
158Tb,65,93,158,180,y,symmetric,,,,,-157.4324,keV
157Tb,65,92,157,71,y,symmetric,,,,,178.7023,keV
160Tb,65,95,160,72.3,d,symmetric,,,,,-178.5453,keV
159Tb,65,94,159,STABLE,,,,,,,-139.1605,keV
162Tb,65,97,162,7.6,m,symmetric,,,,,-1034.0023,keV
161Tb,65,96,161,6.9584,d,symmetric,,,,,-427.5592,keV
164Tb,65,99,164,3,m,symmetric,,,,,-1036.4506,keV
163Tb,65,98,163,19.5,m,symmetric,,,,,-977.2839,keV
136Tb,65,71,136,,,,,,,,3876.0,keV
135Tb,65,70,135,0.94,ms,asymmetric,,,,,3986.0,keV
138Tb,65,73,138,,,,,,,,3775.0,keV
137Tb,65,72,137,,,,,,,,3844.0,keV
140Tb,65,75,140,2.3,s,symmetric,,,,,3336.0,keV
139Tb,65,74,139,1.6,s,symmetric,,,,,3593.0,keV
142Tb,65,77,142,597,ms,symmetric,,,,,2765.2376,keV
141Tb,65,76,141,3.5,s,symmetric,,,,,3180.145,keV
144Tb,65,79,144,1,s,approximation,,,,,2192.8419,keV
143Tb,65,78,143,12,s,symmetric,,,,,2553.9432,keV
138Dy,66,72,138,,,,,,,,4174.0,keV
141Dy,66,75,141,1,s,symmetric,,,,,3406.0,keV
142Dy,66,76,142,2.3,s,symmetric,,,,,3115.0,keV
139Dy,66,73,139,0.6,s,symmetric,,,,,4124.0,keV
140Dy,66,74,140,,,,,,,,3835.0,keV
145Dy,66,79,145,9.5,s,symmetric,,,,,2556.7074,keV
143Dy,66,77,143,4.3,s,symmetric,,,,,3038.0,keV
144Dy,66,78,144,9.1,s,symmetric,,,,,2787.2709,keV
148Dy,66,82,148,3.2,m,symmetric,,,,,1475.1987,keV
149Dy,66,83,149,4.2,m,symmetric,,,,,2807.7196,keV
146Dy,66,80,146,33.2,s,symmetric,,,,,1979.6787,keV
147Dy,66,81,147,67,s,symmetric,,,,,1610.348,keV
152Dy,66,86,152,2.38,h,symmetric,0.1,symmetric,2380.0,h,3726.5401,keV
153Dy,66,87,153,6.42,h,symmetric,0.0094,symmetric,68297.87234042553,h,3559.0607,keV
150Dy,66,84,150,7.17,m,symmetric,37.0,symmetric,19.37837837837838,m,4351.2892,keV
151Dy,66,85,151,18,m,symmetric,5.6,symmetric,321.42857142857144,m,4179.6239,keV
154Dy,66,88,154,2750000,y,symmetric,100.0,unreported,2750000.0,y,2945.1204,keV
155Dy,66,89,155,9.92,h,symmetric,,,,,2608.0651,keV
156Dy,66,90,156,STABLE,,,,,,,1753.0013,keV
159Dy,66,93,159,145.3,d,symmetric,,,,,478.162,keV
160Dy,66,94,160,STABLE,,,,,,,437.9921,keV
157Dy,66,91,157,8.14,h,symmetric,,,,,1033.3589,keV
158Dy,66,92,158,STABLE,,,,,,,874.2903,keV
163Dy,66,97,163,STABLE,,,,,,,-243.9163,keV
164Dy,66,98,164,STABLE,,,,,,,-450.5047,keV
161Dy,66,95,161,STABLE,,,,,,,343.4857,keV
162Dy,66,96,162,STABLE,,,,,,,83.8841,keV
165Dy,66,99,165,2.331,h,symmetric,,,,,-531.0627,keV
176Dy,66,110,176,,,,,,,,-3065.0,keV
168Dy,66,102,168,8.7,m,symmetric,,,,,-1289.6262,keV
167Dy,66,101,167,6.2,m,symmetric,,,,,-947.776,keV
166Dy,66,100,166,81.63,h,symmetric,,,,,-728.6664,keV
172Dy,66,106,172,3.52,s,symmetric,,,,,-2035.0,keV
171Dy,66,105,171,4.1,s,symmetric,,,,,-1659.0,keV
170Dy,66,104,170,55,s,symmetric,,,,,-1764.0,keV
169Dy,66,103,169,39,s,symmetric,,,,,-1495.1435,keV
175Dy,66,109,175,,,,,,,,-2945.0,keV
174Dy,66,108,174,,,,,,,,-2705.0,keV
173Dy,66,107,173,1.43,s,symmetric,,,,,-2275.0,keV
140Ho,67,73,140,6,ms,symmetric,,,,,4157.0,keV
143Ho,67,76,143,,,,,,,,3658.0,keV
144Ho,67,77,144,0.7,s,symmetric,,,,,3447.8415,keV
141Ho,67,74,141,4.1,ms,symmetric,,,,,4178.0,keV
142Ho,67,75,142,0.4,s,symmetric,,,,,3925.0,keV
145Ho,67,78,145,2.4,s,symmetric,,,,,2995.8137,keV
146Ho,67,79,146,3.3,s,symmetric,,,,,2896.3793,keV
147Ho,67,80,147,5.8,s,symmetric,,,,,2237.1755,keV
150Ho,67,83,150,77,s,symmetric,,,,,3392.8365,keV
151Ho,67,84,151,35.2,s,symmetric,22.0,symmetric,160.0,s,4695.0117,keV
148Ho,67,81,148,2.2,s,symmetric,,,,,1952.1055,keV
149Ho,67,82,149,21,s,symmetric,,,,,2328.9233,keV
154Ho,67,87,154,11.76,m,symmetric,0.018,symmetric,65333.333333333336,m,4041.4946,keV
155Ho,67,88,155,48,m,symmetric,,,,,3158.8259,keV
152Ho,67,85,152,147,s,symmetric,12.0,symmetric,1225.0,s,4507.3953,keV
153Ho,67,86,153,2.01,m,symmetric,0.051,symmetric,3941.1764705882356,m,4051.6499,keV
156Ho,67,89,156,56,m,symmetric,,,,,2753.9849,keV
157Ho,67,90,157,12.7,m,symmetric,,,,,2055.8317,keV
158Ho,67,91,158,11.3,m,symmetric,,,,,1544.3943,keV
161Ho,67,94,161,2.48,h,symmetric,,,,,1142.6386,keV
162Ho,67,95,162,15,m,symmetric,,,,,1005.4047,keV
159Ho,67,92,159,33.05,m,symmetric,,,,,1495.9032,keV
160Ho,67,93,160,25.6,m,symmetric,,,,,1283.6691,keV
165Ho,67,98,165,STABLE,,,,,,,138.8443,keV
166Ho,67,99,166,26.808,h,symmetric,,,,,384.293,keV
163Ho,67,96,163,4570,y,symmetric,,,,,729.6389,keV
164Ho,67,97,164,28.8,m,symmetric,,,,,431.0405,keV
168Ho,67,101,168,2.99,m,symmetric,,,,,-379.1637,keV
167Ho,67,100,167,2.9675,h,symmetric,,,,,-108.6208,keV
170Ho,67,103,170,2.76,m,symmetric,,,,,-853.6521,keV
169Ho,67,102,169,4.7,m,symmetric,,,,,-632.0761,keV
172Ho,67,105,172,25,s,symmetric,,,,,-1127.0,keV
171Ho,67,104,171,53,s,symmetric,,,,,-1059.6558,keV
174Ho,67,107,174,3.5,s,symmetric,,,,,-1585.0,keV
173Ho,67,106,173,7.1,s,symmetric,,,,,-1295.0,keV
176Ho,67,109,176,,,,,,,,-2125.0,keV
175Ho,67,108,175,1.9,s,symmetric,,,,,-1955.0,keV
177Ho,67,110,177,,,,,,,,-2195.0,keV
178Ho,67,111,178,,,,,,,,-2585.0,keV
176Er,68,108,176,,,,,,,,-1296.0,keV
175Er,68,107,175,1.2,m,symmetric,,,,,-1067.0,keV
174Er,68,106,174,3.2,m,symmetric,,,,,-664.0,keV
173Er,68,105,173,1.4,m,symmetric,,,,,-483.0,keV
172Er,68,104,172,49.3,h,symmetric,,,,,-349.0963,keV
171Er,68,103,171,7.516,h,symmetric,,,,,-231.2871,keV
170Er,68,102,170,STABLE,,,,,,,52.0409,keV
169Er,68,101,169,9.39,d,symmetric,,,,,266.2097,keV
168Er,68,100,168,STABLE,,,,,,,553.5017,keV
177Er,68,109,177,,,,,,,,-1543.0,keV
180Er,68,112,180,,,,,,,,-1995.0,keV
179Er,68,111,179,,,,,,,,-1775.0,keV
178Er,68,110,178,,,,,,,,-1555.0,keV
142Er,68,74,142,,,,,,,,4576.0,keV
146Er,68,78,146,1.7,s,symmetric,,,,,3373.0,keV
145Er,68,77,145,0.9,s,symmetric,,,,,3717.0,keV
144Er,68,76,144,,,,,,,,3797.0,keV
143Er,68,75,143,,,,,,,,4115.0,keV
147Er,68,79,147,3.2,s,symmetric,,,,,3136.2191,keV
149Er,68,81,149,4,s,symmetric,,,,,2076.0708,keV
148Er,68,80,148,4.6,s,symmetric,,,,,2666.1783,keV
153Er,68,85,153,37.1,s,symmetric,53.0,symmetric,70.0,s,4802.3924,keV
152Er,68,84,152,10.2,s,symmetric,90.0,symmetric,11.333333333333332,s,4934.2625,keV
151Er,68,83,151,23.5,s,symmetric,,,,,3504.841,keV
150Er,68,82,150,18.7,s,symmetric,,,,,2298.6889,keV
157Er,68,89,157,18.65,m,symmetric,,,,,3304.6329,keV
156Er,68,88,156,19.5,m,symmetric,1.2e-05,symmetric,162499999.99999997,m,3481.3646,keV
155Er,68,87,155,5.3,m,symmetric,0.022,symmetric,24090.909090909092,m,4118.3002,keV
154Er,68,86,154,3.73,m,symmetric,0.47,symmetric,793.6170212765959,m,4279.7284,keV
160Er,68,92,160,28.58,h,symmetric,,,,,2040.2941,keV
159Er,68,91,159,36,m,symmetric,,,,,2169.9032,keV
158Er,68,90,158,2.26,h,symmetric,,,,,2665.2835,keV
164Er,68,96,164,STABLE,,,,,,,1304.9362,keV
163Er,68,95,163,75,m,symmetric,,,,,1574.8916,keV
162Er,68,94,162,STABLE,,,,,,,1648.0256,keV
161Er,68,93,161,3.21,h,symmetric,,,,,1798.4549,keV
167Er,68,99,167,STABLE,,,,,,,666.6862,keV
166Er,68,98,166,STABLE,,,,,,,832.109,keV
165Er,68,97,165,10.36,h,symmetric,,,,,1109.2257,keV
144Tm,69,75,144,1.9,us,asymmetric,,,,,4733.0,keV
148Tm,69,79,148,0.7,s,symmetric,,,,,3419.5708,keV
147Tm,69,78,147,0.58,s,symmetric,,,,,3648.0,keV
146Tm,69,77,146,155,ms,symmetric,,,,,3770.0,keV
145Tm,69,76,145,3.16,us,symmetric,,,,,4357.0,keV
151Tm,69,82,151,4.17,s,symmetric,,,,,2560.5718,keV
150Tm,69,81,150,2.2,s,symmetric,,,,,2322.0,keV
149Tm,69,80,149,0.9,s,symmetric,,,,,2755.0,keV
155Tm,69,86,155,21.6,s,symmetric,0.83,symmetric,2602.409638554217,s,4571.909,keV
154Tm,69,85,154,8.1,s,symmetric,54.0,symmetric,14.999999999999998,s,5093.8336,keV
153Tm,69,84,153,1.48,s,symmetric,91.0,symmetric,1.6263736263736264,s,5248.3281,keV
152Tm,69,83,152,5.2,s,symmetric,,,,,3845.9718,keV
158Tm,69,89,158,3.98,m,symmetric,,,,,3511.2624,keV
157Tm,69,88,157,3.63,m,symmetric,0.00075,symmetric,484000.0,m,3877.879,keV
156Tm,69,87,156,83,s,symmetric,0.064,symmetric,129687.49999999999,s,4345.3028,keV
162Tm,69,93,162,21.8,m,symmetric,,,,,2284.9983,keV
161Tm,69,92,161,30.2,m,symmetric,,,,,2509.2319,keV
160Tm,69,91,160,9.4,m,symmetric,,,,,2812.45,keV
159Tm,69,90,159,9.13,m,symmetric,,,,,3044.4789,keV
166Tm,69,97,166,7.7,h,symmetric,,,,,1729.1689,keV
165Tm,69,96,165,30.06,h,symmetric,,,,,1841.3536,keV
164Tm,69,95,164,1.95,m,symmetric,,,,,2048.5664,keV
163Tm,69,94,163,1.81,h,symmetric,,,,,2176.2916,keV
168Tm,69,99,168,93.1,d,symmetric,,,,,1243.2228,keV
167Tm,69,98,167,9.28,d,symmetric,,,,,1409.9944,keV
178Tm,69,109,178,,,,,,,,-796.0,keV
177Tm,69,108,177,95,s,symmetric,,,,,-644.0,keV
174Tm,69,105,174,5.4,m,symmetric,,,,,-51.9228,keV
173Tm,69,104,173,8.24,h,symmetric,,,,,115.0265,keV
176Tm,69,107,176,1.853,m,symmetric,,,,,-313.0,keV
175Tm,69,106,175,15.2,m,symmetric,,,,,-217.6501,keV
170Tm,69,101,170,128.4,d,symmetric,,,,,850.109,keV
169Tm,69,100,169,STABLE,,,,,,,1198.4473,keV
172Tm,69,103,172,63.6,h,symmetric,,,,,260.7614,keV
171Tm,69,102,171,701.5,d,symmetric,,,,,644.2715,keV
181Tm,69,112,181,,,,,,,,-1585.0,keV
180Tm,69,111,180,,,,,,,,-1205.0,keV
182Tm,69,113,182,,,,,,,,-1785.0,keV
179Tm,69,110,179,,,,,,,,-1026.0,keV
183Tm,69,114,183,,,,,,,,,
149Yb,70,79,149,0.7,s,symmetric,,,,,3485.0,keV
148Yb,70,78,148,,,,,,,,3953.0,keV
159Yb,70,89,159,1.73,m,symmetric,,,,,3950.7391,keV
156Yb,70,86,156,25,s,symmetric,10.0,symmetric,250.0,s,4809.7648,keV
155Yb,70,85,155,1.79,s,symmetric,89.0,symmetric,2.0112359550561796,s,5338.7604,keV
158Yb,70,88,158,1.49,m,symmetric,0.0021,symmetric,70952.38095238096,m,4170.4374,keV
157Yb,70,87,157,38.6,s,symmetric,,,,,4621.8539,keV
152Yb,70,82,152,3.1,s,symmetric,,,,,2783.6948,keV
151Yb,70,81,151,1.6,s,symmetric,,,,,2640.5464,keV
154Yb,70,84,154,409,ms,symmetric,92.6,symmetric,441.6846652267819,ms,5474.3142,keV
153Yb,70,83,153,4.2,s,symmetric,,,,,4157.0,keV
150Yb,70,80,150,,,,,,,,3067.0,keV
167Yb,70,97,167,17.5,m,symmetric,,,,,2152.5966,keV
166Yb,70,96,166,56.7,h,symmetric,,,,,2315.5881,keV
169Yb,70,99,169,32.015,d,symmetric,,,,,1720.9095,keV
168Yb,70,98,168,STABLE,,,,,,,1937.7907,keV
163Yb,70,93,163,11.05,m,symmetric,,,,,2842.3261,keV
162Yb,70,92,162,18.89,m,symmetric,,,,,3057.7361,keV
165Yb,70,95,165,9.8,m,symmetric,,,,,2480.9947,keV
164Yb,70,94,164,75.8,m,symmetric,,,,,2627.0899,keV
161Yb,70,91,161,4.2,m,symmetric,,,,,3154.4838,keV
160Yb,70,90,160,4.8,m,symmetric,,,,,3623.54,keV
171Yb,70,101,171,STABLE,,,,,,,1557.5217,keV
170Yb,70,100,170,STABLE,,,,,,,1735.3,keV
182Yb,70,112,182,,,,,,,,-1065.0,keV
181Yb,70,111,181,,,,,,,,-655.0,keV
180Yb,70,110,180,2.4,m,symmetric,,,,,-514.0,keV
175Yb,70,105,175,4.1615,d,symmetric,,,,,597.3499,keV
174Yb,70,104,174,STABLE,,,,,,,738.0772,keV
173Yb,70,103,173,STABLE,,,,,,,945.013,keV
172Yb,70,102,172,STABLE,,,,,,,1308.859,keV
179Yb,70,109,179,8,m,symmetric,,,,,-413.0,keV
178Yb,70,108,178,74,m,symmetric,,,,,-153.0,keV
177Yb,70,107,177,1.911,h,symmetric,,,,,243.0,keV
176Yb,70,106,176,STABLE,,,,,,,566.34,keV
185Yb,70,115,185,,,,,,,,,
184Yb,70,114,184,,,,,,,,-1846.0,keV
183Yb,70,113,183,,,,,,,,-1345.0,keV
186Yb,70,116,186,,,,,,,,,
187Yb,70,117,187,,,,,,,,,
173Lu,71,102,173,1.37,y,symmetric,,,,,1968.7241,keV
172Lu,71,101,172,6.702,d,symmetric,,,,,2151.3869,keV
175Lu,71,104,175,STABLE,,,,,,,1619.677,keV
174Lu,71,103,174,3.31,y,symmetric,,,,,1800.1062,keV
177Lu,71,106,177,6.6472,d,symmetric,,,,,1447.2487,keV
176Lu,71,105,176,37142795493,y,symmetric,,,,,1566.305,keV
179Lu,71,108,179,4.59,h,symmetric,,,,,826.6276,keV
178Lu,71,107,178,28.4,m,symmetric,,,,,1101.7242,keV
180Lu,71,109,180,5.6,m,symmetric,,,,,269.9306,keV
182Lu,71,111,182,2,m,symmetric,,,,,45.0,keV
181Lu,71,110,181,3.5,m,symmetric,,,,,347.0,keV
171Lu,71,100,171,8.25,d,symmetric,,,,,2289.7352,keV
184Lu,71,113,184,19,s,symmetric,,,,,-555.0,keV
183Lu,71,112,183,58,s,symmetric,,,,,-241.0,keV
186Lu,71,115,186,,,,,,,,-1255.0,keV
185Lu,71,114,185,,,,,,,,-946.0,keV
188Lu,71,117,188,,,,,,,,,
187Lu,71,116,187,,,,,,,,,
158Lu,71,87,158,10.6,s,symmetric,0.91,symmetric,1164.8351648351647,s,4790.026,keV
157Lu,71,86,157,7.6,s,asymmetric,0.0,limit,,,5107.8759,keV
160Lu,71,89,160,36.1,s,symmetric,0.0001,limit,36100000.0,s,4139.5589,keV
159Lu,71,88,159,12.1,s,symmetric,,,,,4492.3962,keV
154Lu,71,83,154,,,,,,,,4399.0,keV
153Lu,71,82,153,0.9,s,symmetric,,,,,3140.0,keV
156Lu,71,85,156,494,ms,symmetric,100.0,approximation,494.0,ms,5595.813,keV
155Lu,71,84,155,67,ms,symmetric,88.0,symmetric,76.13636363636364,ms,5801.6414,keV
152Lu,71,81,152,650,ms,symmetric,,,,,2918.0,keV
151Lu,71,80,151,79,ms,symmetric,,,,,3249.0,keV
169Lu,71,98,169,34.06,h,symmetric,,,,,2422.5813,keV
168Lu,71,97,168,5.5,m,symmetric,,,,,2411.1956,keV
170Lu,71,99,170,2.01,d,symmetric,,,,,2155.3283,keV
165Lu,71,94,165,10.74,m,symmetric,,,,,3031.5512,keV
164Lu,71,93,164,3.15,m,symmetric,,,,,3233.7455,keV
167Lu,71,96,167,52,m,symmetric,,,,,2777.2156,keV
166Lu,71,95,166,2.65,m,symmetric,,,,,3031.5796,keV
161Lu,71,90,161,77,s,symmetric,,,,,3722.0137,keV
163Lu,71,92,163,4.01,m,symmetric,,,,,3354.0735,keV
162Lu,71,91,162,1.37,m,symmetric,,,,,3446.5252,keV
150Lu,71,79,150,45,ms,symmetric,,,,,3859.0,keV
149Lu,71,78,149,,,,,,,,,
189Lu,71,118,189,,,,,,,,,
190Lu,71,119,190,,,,,,,,,
161Hf,72,89,161,18.4,s,symmetric,0.3,symmetric,6133.333333333333,s,4679.1789,keV
159Hf,72,87,159,5.2,s,symmetric,12.0,symmetric,43.333333333333336,s,5225.092,keV
160Hf,72,88,160,13.6,s,symmetric,0.7,symmetric,1942.8571428571431,s,4901.8746,keV
157Hf,72,85,157,115,ms,symmetric,94.0,symmetric,122.3404255319149,ms,5880.0072,keV
158Hf,72,86,158,2.9,s,symmetric,44.3,symmetric,6.54627539503386,s,5404.7775,keV
155Hf,72,83,155,840,ms,symmetric,,,,,4808.0,keV
156Hf,72,84,156,23,ms,symmetric,100.0,approximation,23.0,ms,6025.9559,keV
153Hf,72,81,153,60,ns,limit,,,,,3605.0,keV
154Hf,72,82,154,2,s,symmetric,0.0,approximation,,,3675.0,keV
170Hf,72,98,170,16.01,h,symmetric,,,,,2914.9303,keV
171Hf,72,99,171,12.1,h,symmetric,,,,,2733.6334,keV
168Hf,72,96,168,25.95,m,symmetric,,,,,3226.6973,keV
169Hf,72,97,169,3.25,m,symmetric,,,,,3153.5769,keV
166Hf,72,94,166,6.77,m,symmetric,,,,,3537.2584,keV
167Hf,72,95,167,2.05,m,symmetric,,,,,3401.2009,keV
164Hf,72,92,164,111,s,symmetric,,,,,3919.9548,keV
165Hf,72,93,165,76,s,symmetric,,,,,3773.8196,keV
162Hf,72,90,162,38.7,s,symmetric,0.008,symmetric,483750.0,s,4416.2789,keV
163Hf,72,91,163,40,s,symmetric,,,,,4139.281,keV
181Hf,72,109,181,42.39,d,symmetric,,,,,1158.5306,keV
180Hf,72,108,180,STABLE,,,,,,,1286.9306,keV
179Hf,72,107,179,STABLE,,,,,,,1807.6045,keV
178Hf,72,106,178,STABLE,,,,,,,2084.2391,keV
177Hf,72,105,177,STABLE,,,,,,,2245.5731,keV
176Hf,72,104,176,STABLE,,,,,,,2254.1128,keV
175Hf,72,103,175,70.67,d,symmetric,,,,,2400.1392,keV
174Hf,72,102,174,70000000000000000,y,symmetric,100.0,unreported,7e+16,y,2494.4298,keV
173Hf,72,101,173,23.6,h,symmetric,,,,,2538.8216,keV
172Hf,72,100,172,1.87,y,symmetric,,,,,2752.7192,keV
182Hf,72,110,182,8900000,y,symmetric,,,,,1202.5871,keV
190Hf,72,118,190,,,,,,,,,
189Hf,72,117,189,,,,,,,,-1095.0,keV
188Hf,72,116,188,,,,,,,,-654.0,keV
187Hf,72,115,187,,,,,,,,-425.0,keV
186Hf,72,114,186,2.6,m,symmetric,,,,,51.0,keV
185Hf,72,113,185,3.5,m,symmetric,,,,,343.0,keV
184Hf,72,112,184,4.12,h,symmetric,,,,,796.0,keV
183Hf,72,111,183,1.019,h,symmetric,,,,,931.0,keV
191Hf,72,119,191,,,,,,,,,
192Hf,72,120,192,,,,,,,,,
161Ta,73,88,161,,,,,,,,5236.3268,keV
162Ta,73,89,162,3.56,s,symmetric,0.074,symmetric,4810.810810810811,s,5005.8799,keV
159Ta,73,86,159,1.04,s,symmetric,34.0,symmetric,3.0588235294117645,s,5680.9834,keV
160Ta,73,87,160,1.55,s,symmetric,0.0,limit,,,5450.9341,keV
157Ta,73,84,157,10.2,ms,symmetric,96.6,symmetric,10.559006211180124,ms,6354.5987,keV
158Ta,73,85,158,49,ms,symmetric,100.0,approximation,49.0,ms,6123.6044,keV
155Ta,73,82,155,2.9,ms,asymmetric,,,,,3887.0,keV
156Ta,73,83,156,106,ms,symmetric,,,,,4996.0,keV
172Ta,73,99,172,36.8,m,symmetric,,,,,3317.9331,keV
170Ta,73,97,170,6.76,m,symmetric,,,,,3458.4009,keV
171Ta,73,98,171,23.3,m,symmetric,,,,,3381.0869,keV
168Ta,73,95,168,2,m,symmetric,,,,,3823.5466,keV
169Ta,73,96,169,4.9,m,symmetric,,,,,3726.8966,keV
166Ta,73,93,166,34.4,s,symmetric,,,,,4309.063,keV
167Ta,73,94,167,80,s,symmetric,,,,,4015.4344,keV
164Ta,73,91,164,14.2,s,symmetric,,,,,4562.2214,keV
165Ta,73,92,165,31,s,symmetric,,,,,4289.5617,keV
163Ta,73,90,163,10.7,s,symmetric,,,,,4749.0593,keV
181Ta,73,108,181,STABLE,,,,,,,1519.9228,keV
180Ta,73,107,180,8.154,h,symmetric,,,,,2023.7865,keV
182Ta,73,109,182,114.804,d,symmetric,,,,,1482.28,keV
177Ta,73,104,177,56.56,h,symmetric,,,,,2741.353,keV
176Ta,73,103,176,8.08,h,symmetric,,,,,2945.7807,keV
179Ta,73,106,179,1.815,y,symmetric,,,,,2383.3065,keV
178Ta,73,105,178,2.41,h,symmetric,,,,,2547.0,keV
173Ta,73,100,173,3.14,h,symmetric,,,,,3261.068,keV
175Ta,73,102,175,10.5,h,symmetric,,,,,2994.8969,keV
174Ta,73,101,174,1.08,h,symmetric,,,,,3140.5465,keV
194Ta,73,121,194,,,,,,,,,
193Ta,73,120,193,,,,,,,,,
192Ta,73,119,192,2.2,s,symmetric,,,,,-1705.0,keV
191Ta,73,118,191,,,,,,,,-1175.0,keV
188Ta,73,115,188,19.6,s,symmetric,,,,,-35.0,keV
187Ta,73,114,187,283,s,symmetric,,,,,395.6483,keV
190Ta,73,117,190,5.3,s,symmetric,,,,,-825.0,keV
189Ta,73,116,189,,,,,,,,-424.0,keV
184Ta,73,111,184,8.7,h,symmetric,,,,,1412.1074,keV
183Ta,73,110,183,5.1,d,symmetric,,,,,1340.5506,keV
186Ta,73,113,186,10.5,m,symmetric,,,,,738.0,keV
185Ta,73,112,185,49.5,m,symmetric,,,,,978.1274,keV
191W,74,117,191,,,,,,,,-601.0,keV
192W,74,118,192,,,,,,,,-1215.0,keV
193W,74,119,193,,,,,,,,-1465.0,keV
187W,74,113,187,23.8,h,symmetric,,,,,954.5871,keV
188W,74,114,188,69.77,d,symmetric,,,,,406.6565,keV
189W,74,115,189,11.6,m,symmetric,,,,,86.0,keV
190W,74,116,190,30,m,symmetric,,,,,-369.5342,keV
